School DBN,date,temperature_2m_mean (°C),precipitation_sum (mm),absent_rate,present_rate
07X296,2018/10,13.759090909090908,2.7409090909090907,0.07859314335797714,0.9214068566420228
07X296,2018/11,6.911111111111111,6.238888888888889,0.10006730067544617,0.8999326993245538
07X296,2018/12,2.393333333333333,3.5600000000000005,0.08305271767879925,0.9169472823212008
07X296,2019/01,-0.8428571428571429,2.085714285714286,0.11643279276680293,0.8835672072331971
07X296,2019/02,0.892857142857143,3.0500000000000003,0.09074588400548038,0.9092541159945196
07X296,2019/03,2.785,2.825,0.11243516072571795,0.8875648392742821
07X296,2019/04,9.2125,3.5125,0.08267569131673481,0.9170617036412484
07X296,2019/05,15.477272727272727,3.227272727272727,0.09481110816331097,0.9051888918366889
07X296,2019/06,20.146666666666665,7.493333333333334,0.1422594142259414,0.8577405857740585
07X298,2018/09,21.279999999999998,13.366666666666667,0.09455240383310942,0.9054475961668905
07X298,2018/10,13.759090909090908,2.7409090909090907,0.07254594345504212,0.9274540565449579
07X298,2018/11,6.911111111111111,6.238888888888889,0.09029216564838001,0.9088739710204066
07X298,2018/12,2.393333333333333,3.5600000000000005,0.1020045272534031,0.8977448461801809
07X298,2019/01,-0.8428571428571429,2.085714285714286,0.12219631899120717,0.8778036810087929
07X298,2019/02,0.892857142857143,3.0500000000000003,0.08279629141611365,0.9172037085838863
07X298,2019/03,2.785,2.825,0.09564640314552936,0.9032431537848659
07X298,2019/04,9.2125,3.5125,0.07703561885496306,0.9218103841577632
07X298,2019/05,15.477272727272727,3.227272727272727,0.07850890325958572,0.9203120197249061
07X298,2019/06,20.146666666666665,7.493333333333334,0.1639506172839506,0.8348148148148148
07X334,2018/09,21.279999999999998,13.366666666666667,0.12934957406234002,0.87065042593766
07X334,2018/10,13.759090909090908,2.7409090909090907,0.07664010809952673,0.9233598919004732
07X334,2018/11,6.911111111111111,6.238888888888889,0.09432815997766304,0.905671840022337
07X334,2018/12,2.393333333333333,3.5600000000000005,0.09092664521023171,0.9090733547897684
07X334,2019/01,-1.0875,0.6687500000000001,0.1376409490645744,0.8623590509354255
07X334,2019/02,0.892857142857143,3.0500000000000003,0.11883349183795035,0.8811665081620497
07X334,2019/03,2.785,2.825,0.10314344115899221,0.8968565588410078
07X334,2019/04,9.2125,3.5125,0.11662350262804058,0.8833764973719594
07X334,2019/05,15.477272727272727,3.227272727272727,0.12511890077896679,0.8748810992210333
